,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,2 ,т,285000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,25 ,т,308390
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,2 ,т,291080,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,25 ,т,315240
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,3 ,т,273500,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,30 ,т,263830
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,3 ,т,288880,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,30 ,т,264180
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,3 ,т,295000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,30 ,т,295470
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,4 ,т,272340,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,32 ,т,294370
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,4 ,т,278000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,32 ,т,295000
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,4 ,т,295000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,36 ,т,311950
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,5 ,т,265810,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,36 ,т,315240
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,5 ,т,270000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,45 ,т,304260
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,5 ,т,280000,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,45 ,т,305000
,,,,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,5 ,т,283390,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,50 ,т,295470
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД (продолжение),,,,,х/к н/с   AISI 201   2B (матовый),3 ,т,186540
Марка,толщина,Ед.изм,Цена,,,,,
г/к н/с   AISI 321 (12Х18Н10Т)   No1,50 ,т,296150,,х/к н/с   AISI 201   2B (матовый),3 ,т,193010
,,,,,,,,
г/к н/с   AISI 904L (06ХН28МДТ)   No1,6 ,т,2144140,,х/к н/с   AISI 201   4N+PE  некондиция некондиция,0.5 ,т,179520
,,,,,,,,
г/к н/с   AISI 904L (06ХН28МДТ)   No1,8 ; 10; 16; 16; 20,т,1328210,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),0.5 ,т,193010
,25 ,,,,,,,
х/к н/с   08Х18Н10Т,0.8 ,т,461040,,х/к н/с   AISI 201   4N+PE (шлиф.),0.5 ,т,200070
х/к н/с   12Х18Н10Т,1.2 ,т,357000,,,,,
х/к н/с   12Х18Н10Т,2.2 ; 3,т,346800,,х/к н/с   AISI 201   4N+PE (шлиф.),0.5 ,т,213200
х/к н/с   AISI 201   2B (матовый),0.5 ,т,176870,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),0.6 ,т,191010
х/к н/с   AISI 201   2B (матовый),0.5 ,т,191010,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),0.8 ,т,188000
х/к н/с   AISI 201   2B (матовый),0.5 ,т,230010,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),0.8 ,т,236310
х/к н/с   AISI 201   2B (матовый),0.7 ,т,170910,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1 ,т,203930
х/к н/с   AISI 201   2B (матовый),0.7 ,т,173920,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1 ,т,227120
х/к н/с   AISI 201   2B (матовый),0.7 ,т,180410,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1.2 ,т,180410
х/к н/с   AISI 201   2B (матовый),0.7 ,т,194680,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1.2 ,т,185990
х/к н/с   AISI 201   2B (матовый),0.8 ,т,180950,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1.2 ,т,227120
х/к н/с   AISI 201   2B (матовый),0.8 ,т,183970,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1.5 ,т,179950
х/к н/с   AISI 201   2B (матовый),0.8 ,т,208600,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),1.5 ,т,196030
х/к н/с   AISI 201   2B (матовый),1 ,т,178550,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),2 ,т,206070
х/к н/с   AISI 201   2B (матовый),1 ,т,185990,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.),2 ,т,213200
х/к н/с   AISI 201   2B (матовый),1 ,т,190740,,,,,
,,,,,х/к н/с   AISI 201   4N+PE (шлиф.) неконд,0.8 ,т,176870
х/к н/с   AISI 201   2B (матовый),1 ,т,194680,,,,,
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),1 ,т,198020,,х/к н/с   AISI 201   4N+PE (шлиф.) неконд,0.8 ,т,180410
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),1 ,т,212500,,,,,
,,,,,х/к н/с   AISI 201   No1,3 ,т,180950
х/к н/с   AISI 201   2B (матовый),1.2 ,т,180950,,,,,
,,,,,х/к н/с   AISI 202   4N+LPE (шлиф.),1 ,т,239700
х/к н/с   AISI 201   2B (матовый),1.2 ,т,186540,,,,,
,,,,,х/к н/с   AISI 202   4N+LPE (шлиф.),1.5 ,т,252280
х/к н/с   AISI 201   2B (матовый),1.5 ,т,175930,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.4 ,т,290090
х/к н/с   AISI 201   2B (матовый),1.5 ,т,176940,,,,,
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),1.5 ,т,203180,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.5 ,т,274920
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),1.85 ,т,173920,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.5 ,т,282000
х/к н/с   AISI 201   2B (матовый),2 ,т,169890,,,,,
,,,,,,,,
